,year,Christianity,Judaism,Islam,Budhism,Zoroastrian,Hindu,Sikh,Shinto,Baha'i,Taoism,Confucianism,Jain,Syncretic Religions,Animist Religions,Non Religious,Other Religions
0,0.001945,701.35029,12.0094,130.760281,116.237936,0.01271,5.389197,0.020809,55.228775,0.015495,0.12095,0.000181,0.0,428.660117,33.21008,153.48653,9.856926
1,0.00195,696.480122,13.698294,294.121067,159.011902,0.119462,301.3495,5.932557,65.452839,0.638739,0.921828,1.817254,2.64641,431.942094,88.85388,192.925316,12.145951
2,0.001955,836.002102,12.986204,344.072007,179.384199,0.140762,328.704605,6.407617,68.145114,0.761302,1.182738,1.620662,2.956319,385.70215,93.710944,304.128449,21.37905
3,0.00196,966.967595,13.728856,435.123088,200.439159,0.170443,361.169167,8.088138,71.357167,1.278349,1.357348,2.03176,3.593958,325.016083,135.768801,434.629671,18.904435
4,0.001965,1074.713786,14.253679,514.634057,212.593384,0.148944,397.863182,8.895685,74.982591,1.658891,1.704647,2.341748,4.441376,358.844822,160.893706,474.09785,41.159669
5,0.00197,1176.605676,14.833409,592.342288,228.802634,0.107671,449.824489,10.686632,79.15635,2.294978,1.981266,2.628762,5.286931,379.156729,167.009224,588.838181,26.258961
6,0.001975,1300.116609,15.914548,663.674348,260.324284,0.179084,488.621807,12.47787,85.416548,2.607053,2.895296,2.94238,5.174923,372.344153,168.615279,690.431832,26.800685
7,0.00198,1392.078609,16.606995,647.139477,298.402116,0.192461,537.594394,14.276856,89.429228,3.205049,3.875752,3.258083,5.470087,398.417206,165.629178,737.801266,35.031049
8,0.001985,1506.919051,16.782995,747.128591,337.670689,0.263891,601.622535,14.921905,92.520741,3.180424,4.627936,3.5679,1.169027,435.629032,166.066939,788.196309,36.373149
9,0.00199,1695.081219,14.869547,999.680318,375.247755,0.878401,659.849828,19.20148,94.60782,5.064983,5.884833,3.884764,1.300279,469.199898,182.182331,838.27128,36.282109
10,0.001995,1785.414969,14.072306,1154.990606,411.95533,1.486982,720.868905,19.075084,96.137007,4.847579,6.521306,4.096172,1.273987,503.01962,192.906325,802.280726,41.903686
11,0.002,1890.923184,13.446312,1314.04824,388.256056,2.004398,875.605734,20.052963,97.189265,4.080074,9.800202,4.322367,3.816742,562.844555,166.747465,782.412122,33.542527
12,0.002005,1990.731467,14.270328,1426.454346,474.117121,1.676073,947.361362,21.869149,107.221255,4.309833,12.29537,4.744957,3.850741,569.336868,171.348718,743.821311,39.044537
13,0.00201,2111.912953,14.023309,1555.482766,485.246937,1.751038,1017.342648,23.7765,108.343192,4.840062,9.879877,5.115141,3.987537,590.530545,174.264339,788.323943,26.572933
14,0.00202,2382.75,14.723,1907.11,506.99,2.6,1610.0,26.0,108.343192,4.840062,9.879877,4.21,4.2,585.0,195.0,1193.75,20.99
